paymill_Amount,Importo
paymill_accepted_currency,"Valute accettate"
paymill_opt_Enabled,Attivare
paymill_opt_Countries,"Paesi accettati"
paymill_Activate_Debugging,"Attivare il debug"
paymill_fc_active,"Abilitare pagamento veloce"
paymill_Activate_Logging,"Attivare la registrazione."
paymill_preAuth_active,"Preautorizzare le transazioni al momento del pagamento. L'addebito verrà effettuato durante la generazione delle fatture."
paymill_private_key_comment,"Può trovare la sua chiave privata nel pannello di controllo di PAYMILL."
paymill_Private_Key,"Chiave privata"
paymill_public_key_comment,"Può trovare la sua chiave pubblica nel pannello di controllo di PAYMILL."
paymill_Public_Key,"Chiave pubblica"
paymill_Show_Label,"Visualizzare l'etichetta PAYMILL durante il pagamento."
paymill_opt_Sort,Sequenza
paymill_token_tolerace_tooltip,"Importo che verrà sovraccaricato durante la generazione del Token PAYMILL. Questo per evitare deviazioni del 3-D Secure."
paymill_token_tolerace_comment,"Importo che verrà sovraccaricato durante la generazione del Token PAYMILL. Questo per evitare deviazioni del 3-D Secure."
paymill_token_tolerace,"Valore di tolleranza Token"
paymill_Currency,Valuta
paymill_error_text_invalid_cvc,"CVC non valido"
PAYMILL_field_invalid_card_cvc,"CVC non valido"
paymill_error_text_invalid_holder_cc,"Inserire il nome del titolare della carta."
PAYMILL_field_invalid_card_holder,"Inserire il nome del titolare della carta."
paymill_error_text_invalid_number_cc,"Inserire un numero di carta di credito valido."
PAYMILL_field_invalid_card_number,"Inserire un numero di carta di credito valido."
paymill_error_text_invalid_expdate,"Data scadenza non valida"
PAYMILL_field_invalid_bank_code,"Inserire un codice di addebito bancario diretto valido."
paymill_error_text_invalid_bankcode,"Inserire un codice di addebito bancario diretto valido."
paymill_error_text_invalid_holder_elv,"Inserire il nome del titolare del conto di addebito diretto"
PAYMILL_field_invalid_account_holder,"Inserire il nome del titolare del conto di addebito diretto"
paymill_error_text_invalid_number_elv,"Inserire un numero di conto di addebito diretto valido"
PAYMILL_field_invalid_account_number,"Inserire un numero di conto di addebito diretto valido"
paymill_error_text_invalid_payment,"Il metodo di pagamento non può essere identificato. Contattare il supporto per assistenza."
paymill_dialog_confirm,"Sei sicuro?"
paymill_slogan,"Pagamenti sicuri con carta di credito con tecnologia"
paymill_slogan_elv,"Addebito diretto con tecnologia"
paymill_credit_card,"Carta di credito"
paymill_creditcard,"Carta di credito"
paymill_3ds_cancel,Annullare
paymill_Cvc,CVC
paymill_Holder,"Titolare carta"
paymill_Number,"Numero carta"
paymill_Date,"Valida fino al"
paymill_cvc_tooltip,"Il codice CVV o CVC è una funzione di sicurezza delle carte di credito. Di solito, è un numero composto da tre o quattro cifre. Sulle carte di credito VISA, è indicato come codice CVV. Lo stesso codice può essere trovato sulle carte di credito MasterCard, dove però è denominato CVC. CVC è l'abbreviazione di  ""Card Validation Code"" (Codice di validazione della carta). Il codice CVV, invece, è l'abbreviazione di ""Card Validation Value code"" (Codice del valore di verifica della carta). Similmente alla MasterCard e alla Visa, altre marche come la Diners Club, la Discover e la JCB contengono un numero a tre cifre che di solito può essere trovato sul retro della carta di credito. Esistono carte MAESTRO con o senza un codice CVV a tre cifre. Nel caso in cui venga utilizzata una carta MAESTRO priva di CVV, è possibile inserire 000 nel modulo. L'American Express utilizza il CID (Numero di identificazione della carta). Il CID è un numero a quattro cifre che di solito si trova sulla parte anteriore della carta, in alto a destra dal numero della carta di credito."
paymill_directdebit,"Addebito diretto"
paymill_direct_debit,"Addebito diretto"
paymill_bankcode,"Codice bancario"
paymill_account,"Numero conto"
paymill_backend_log_entry_date,"Data della voce"
paymill_backend_log_dev_info,"Informare sviluppatore"
paymill_backend_log_id,Id
paymill_backend_log_merchant_info,"Informazioni operatore commerciale"
paymill_log,"Registro PAYMILL"
paymill_backend_log_version,"Versione modulo"
paymill_credit_card_label,"Pagamenti con carta di credito PAYMILL"
paymill_direct_debit_label,"Addebito diretto PAYMILL"
paymill_activate_sepa,"Mostra SEPA da"
paymill_Basic_Setting,"Impostazioni principali di Paymill"
paymill_iban,IBAN
paymill_bic,BIC
paymill_public_key_tooltip,"Inserire una chiave pubblica valida"
paymill_private_key_tooltip,"Inserire una chiave privata valida"
paymill_error_text_invalid_token,"Si è verificato il seguente errore:"
paymill_error_text_no_entry_selected,"Selezionare una voce"
paymill_action_delete,"Elimina voce"
paymill_backend_log_dev_info_additional,"Informazioni aggiuntive sviluppatore"
paymill_checkout_generating_invoice,"Fattura creata"
paymill_log_action_success,"Azione avvenuta con successo"
paymill_checkout_desc,Descrizione
"General undefined response.","General undefined response."
"Still waiting on something.","Still waiting on something."
"General success response.","General success response."
"General problem with data.","General problem with data."
"General problem with payment data.","General problem with payment data."
"Problem with credit card data.","Problem with credit card data."
"Problem with cvv.","Problem with cvv."
"Card expired or not yet valid.","Card expired or not yet valid."
"Limit exceeded.","Limit exceeded."
"Card invalid.","Card invalid."
"Expiry date not valid.","Expiry date not valid."
"Credit card brand required.","Credit card brand required."
"Problem with bank account data.","Problem with bank account data."
"Bank account data combination mismatch.","Bank account data combination mismatch."
"User authentication failed.","User authentication failed."
"Problem with 3d secure data.","Problem with 3d secure data."
"Currency / amount mismatch","Currency / amount mismatch"
"Problem with input data.","Problem with input data."
"Amount too low or zero.","Amount too low or zero."
"Usage field too long.","Usage field too long."
"Currency not allowed.","Currency not allowed."
"General problem with backend.","General problem with backend."
"Country blacklisted.","Country blacklisted."
"Technical error with credit card.","Technical error with credit card."
"Error limit exceeded.","Error limit exceeded."
"Card declined by authorization system.","Card declined by authorization system."
"Manipulation or stolen card.","Manipulation or stolen card."
"Card restricted.","Card restricted"
"Invalid card configuration data.","Invalid card configuration data."
"Technical error with bank account.","Technical error with bank account."
"Card blacklisted.","Card blacklisted."
"Technical error with 3D secure.","Technical error with 3D secure."
"Decline because of risk issues.","Decline because of risk issues."
"General timeout.","General timeout."
"Timeout on side of the acquirer.","Timeout on side of the acquirer."
"Risk management transaction timeout.","Risk management transaction timeout"
"Duplicate transaction.","Duplicate transaction."
PAYMILL_internal_server_error,"The communication with the psp failed."
PAYMILL_invalid_public_key,"The public key is invalid."
PAYMILL_invalid_payment_data,"Paymentmethod, card type currency or country not authorized"
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Invia fattura tramite e-mail"
paymill_error_text_invalid_iban_elv,"Inserire un numero iban valido"
paymill_error_text_invalid_bic,"Inserire un codice bic valido."
paymill_accepted_creditcards,"Marche di Carte di Credito accettate"
paymill_feedback_error_directdebit_number_iban,"Per favore, inserire un codice BIC/Banca valido"
paymill_feedback_error_directdebit_bankcode_bic,"Per favore, inserire un codice IBAN/numero di conto valido"
paymill_prenotification,"Giorni mancanti all'addebito"
paymill_prenotification_text,"L'addebito sarà effettuato nella giornata seguente:"
paymill_show_creditcards,"Show creditcard logos"
paymill_select_creditcards,"Select creditcard logos"
